Percentage served,Time in ms
0,0.419
1,10.130
2,10.255
3,10.343
4,10.421
5,10.521
6,10.722
7,10.895
8,11.001
9,11.117
10,11.285
11,11.554
12,11.893
13,12.134
14,12.266
15,12.367
16,12.480
17,12.578
18,12.676
19,12.771
20,12.846
21,12.935
22,13.063
23,13.225
24,13.328
25,13.444
26,13.575
27,13.761
28,13.927
29,14.177
30,14.385
31,14.640
32,14.857
33,15.137
34,15.410
35,15.859
36,17.082
37,17.265
38,17.388
39,17.478
40,17.601
41,17.692
42,17.772
43,17.848
44,17.925
45,17.976
46,18.036
47,18.099
48,18.145
49,18.202
50,18.263
51,18.323
52,18.373
53,18.415
54,18.485
55,18.537
56,18.593
57,18.671
58,18.738
59,18.822
60,18.915
61,19.007
62,19.096
63,19.216
64,19.347
65,19.463
66,19.552
67,19.653
68,19.748
69,19.841
70,19.943
71,20.027
72,20.103
73,20.169
74,20.230
75,20.292
76,20.355
77,20.437
78,20.503
79,20.586
80,20.675
81,20.771
82,20.842
83,20.931
84,21.006
85,21.083
86,21.173
87,21.264
88,21.375
89,21.483
90,21.593
91,21.719
92,21.928
93,22.116
94,22.416
95,22.647
96,23.211
97,24.069
98,164.600
99,11055.859
100,11072.667
