Percentage served,Time in ms
0,24.426
1,24.795
2,24.846
3,24.883
4,24.906
5,24.931
6,24.947
7,24.962
8,24.977
9,24.989
10,25.000
11,25.010
12,25.021
13,25.030
14,25.038
15,25.047
16,25.056
17,25.066
18,25.075
19,25.085
20,25.095
21,25.108
22,25.122
23,25.138
24,25.155
25,25.171
26,25.190
27,25.210
28,25.234
29,25.258
30,25.286
31,25.325
32,25.362
33,25.401
34,25.445
35,25.491
36,25.541
37,25.579
38,25.615
39,25.649
40,25.677
41,25.703
42,25.726
43,25.749
44,25.774
45,25.794
46,25.814
47,25.836
48,25.855
49,25.873
50,25.891
51,25.910
52,25.926
53,25.943
54,25.963
55,25.983
56,26.003
57,26.023
58,26.042
59,26.060
60,26.079
61,26.097
62,26.116
63,26.135
64,26.159
65,26.182
66,26.204
67,26.228
68,26.257
69,26.287
70,26.321
71,26.353
72,26.389
73,26.424
74,26.461
75,26.497
76,26.544
77,26.592
78,26.643
79,26.706
80,26.761
81,26.824
82,26.895
83,26.981
84,27.072
85,27.174
86,27.295
87,27.437
88,27.606
89,27.795
90,28.098
91,28.631
92,29.407
93,30.079
94,30.587
95,31.227
96,31.752
97,32.407
98,102.398
99,190.336
100,206.196
