Percentage served,Time in ms
0,24.431
1,24.723
2,24.774
3,24.807
4,24.835
5,24.857
6,24.877
7,24.895
8,24.908
9,24.922
10,24.935
11,24.946
12,24.956
13,24.965
14,24.975
15,24.983
16,24.991
17,24.999
18,25.008
19,25.017
20,25.025
21,25.032
22,25.038
23,25.045
24,25.052
25,25.059
26,25.067
27,25.074
28,25.081
29,25.088
30,25.096
31,25.103
32,25.112
33,25.119
34,25.127
35,25.136
36,25.147
37,25.157
38,25.167
39,25.178
40,25.192
41,25.205
42,25.220
43,25.235
44,25.252
45,25.272
46,25.291
47,25.311
48,25.338
49,25.376
50,25.414
51,25.449
52,25.489
53,25.525
54,25.578
55,25.629
56,25.662
57,25.701
58,25.737
59,25.776
60,25.816
61,25.860
62,25.905
63,25.938
64,25.984
65,26.021
66,26.058
67,26.099
68,26.141
69,26.187
70,26.242
71,26.293
72,26.362
73,26.419
74,26.468
75,26.534
76,26.600
77,26.679
78,26.776
79,26.875
80,26.997
81,27.161
82,27.323
83,27.550
84,27.824
85,28.170
86,28.448
87,28.744
88,29.039
89,29.360
90,29.676
91,29.938
92,30.199
93,30.490
94,30.807
95,31.217
96,31.600
97,32.249
98,166.805
99,199.166
100,218.543
