Percentage served,Time in ms
0,3.660
1,4.181
2,4.217
3,4.246
4,4.313
5,4.349
6,4.383
7,4.411
8,4.443
9,4.483
10,4.515
11,4.540
12,4.565
13,4.606
14,4.638
15,4.672
16,4.697
17,4.727
18,4.754
19,4.774
20,4.793
21,4.809
22,4.824
23,4.836
24,4.848
25,4.859
26,4.869
27,4.882
28,4.893
29,4.911
30,4.924
31,4.940
32,4.961
33,4.988
34,5.018
35,5.042
36,5.075
37,5.101
38,5.139
39,5.166
40,5.196
41,5.227
42,5.257
43,5.280
44,5.307
45,5.334
46,5.370
47,5.401
48,5.431
49,5.464
50,5.494
51,5.523
52,5.550
53,5.588
54,5.613
55,5.639
56,5.677
57,5.715
58,5.743
59,5.781
60,5.813
61,5.848
62,5.891
63,5.930
64,5.974
65,6.021
66,6.063
67,6.103
68,6.152
69,6.199
70,6.246
71,6.287
72,6.328
73,6.379
74,6.444
75,6.477
76,6.514
77,6.554
78,6.596
79,6.627
80,6.672
81,6.725
82,6.776
83,6.844
84,6.909
85,6.961
86,7.012
87,7.077
88,7.148
89,7.226
90,7.315
91,7.399
92,7.490
93,7.624
94,7.854
95,8.188
96,8.314
97,8.604
98,9.143
99,9.615
100,10.651
