Percentage served,Time in ms
0,3.249
1,4.745
2,4.890
3,4.964
4,5.027
5,5.072
6,5.124
7,5.159
8,5.208
9,5.260
10,5.297
11,5.331
12,5.374
13,5.409
14,5.449
15,5.487
16,5.520
17,5.549
18,5.580
19,5.605
20,5.628
21,5.654
22,5.673
23,5.695
24,5.720
25,5.743
26,5.769
27,5.793
28,5.813
29,5.834
30,5.859
31,5.883
32,5.913
33,5.934
34,5.954
35,5.979
36,6.007
37,6.030
38,6.059
39,6.081
40,6.105
41,6.127
42,6.154
43,6.185
44,6.210
45,6.239
46,6.278
47,6.315
48,6.359
49,6.398
50,6.447
51,6.494
52,6.532
53,6.574
54,6.641
55,6.707
56,6.768
57,6.835
58,6.914
59,6.986
60,7.062
61,7.126
62,7.195
63,7.244
64,7.285
65,7.326
66,7.377
67,7.441
68,7.534
69,7.624
70,7.726
71,7.816
72,7.950
73,8.097
74,8.210
75,8.330
76,8.431
77,8.521
78,8.635
79,8.736
80,8.821
81,8.902
82,9.020
83,9.127
84,9.246
85,9.338
86,9.417
87,9.495
88,9.589
89,9.670
90,9.746
91,9.882
92,9.985
93,10.084
94,10.166
95,10.268
96,10.459
97,10.696
98,10.987
99,11.878
100,140.017
