Percentage served,Time in ms
0,0.433
1,5.262
2,5.530
3,5.716
4,5.825
5,5.931
6,6.042
7,6.164
8,6.267
9,6.378
10,6.485
11,6.617
12,6.760
13,6.873
14,7.017
15,7.187
16,7.342
17,7.538
18,7.793
19,7.984
20,8.121
21,8.450
22,8.802
23,9.090
24,9.404
25,9.681
26,10.066
27,10.387
28,10.771
29,11.106
30,11.363
31,11.615
32,11.884
33,12.071
34,12.262
35,12.593
36,12.971
37,15.413
38,15.770
39,15.924
40,16.026
41,16.130
42,16.201
43,16.252
44,16.300
45,16.351
46,16.387
47,16.411
48,16.442
49,16.478
50,16.515
51,16.549
52,16.581
53,16.618
54,16.662
55,16.708
56,16.764
57,16.844
58,16.921
59,17.000
60,17.102
61,17.220
62,17.299
63,17.371
64,17.451
65,17.534
66,17.614
67,17.706
68,17.777
69,17.879
70,17.992
71,18.080
72,18.200
73,18.339
74,18.471
75,18.573
76,18.650
77,18.740
78,18.828
79,18.947
80,19.033
81,19.122
82,19.199
83,19.263
84,19.351
85,19.416
86,19.497
87,19.558
88,19.641
89,19.729
90,19.821
91,19.933
92,20.075
93,20.162
94,20.308
95,20.512
96,20.971
97,21.423
98,44.846
99,6004.860
100,6011.357
