Percentage served,Time in ms
0,4.330
1,4.788
2,4.876
3,4.980
4,5.073
5,5.158
6,5.219
7,5.286
8,5.352
9,5.422
10,5.487
11,5.548
12,5.597
13,5.640
14,5.680
15,5.723
16,5.773
17,5.824
18,5.870
19,5.916
20,6.005
21,6.102
22,6.171
23,6.232
24,6.315
25,6.380
26,6.439
27,6.484
28,6.525
29,6.583
30,6.628
31,6.662
32,6.703
33,6.740
34,6.775
35,6.823
36,6.859
37,6.908
38,6.968
39,7.007
40,7.051
41,7.105
42,7.148
43,7.187
44,7.233
45,7.276
46,7.308
47,7.344
48,7.379
49,7.419
50,7.473
51,7.522
52,7.574
53,7.622
54,7.664
55,7.706
56,7.764
57,7.817
58,7.883
59,7.947
60,8.017
61,8.100
62,8.195
63,8.277
64,8.360
65,8.444
66,8.510
67,8.567
68,8.653
69,8.782
70,8.889
71,8.999
72,9.086
73,9.166
74,9.238
75,9.298
76,9.364
77,9.411
78,9.476
79,9.550
80,9.643
81,9.721
82,9.785
83,9.861
84,9.920
85,9.989
86,10.080
87,10.180
88,10.248
89,10.338
90,10.412
91,10.488
92,10.569
93,10.655
94,10.768
95,10.867
96,10.966
97,11.071
98,11.206
99,11.408
100,12.285
